county,date,hospitalized_covid_patients,population
Kings,2020-03-29,7.0,152940.0
Yolo,2020-03-29,5.0,220500.0
San Diego,2020-03-29,332.0,3338330.0
Modoc,2020-03-29,0.0,8841.0
Mono,2020-03-29,1.0,14444.0
Mendocino,2020-03-29,12.0,86749.0
Riverside,2020-03-29,122.0,2470546.0
Stanislaus,2020-03-29,68.0,550660.0
Lassen,2020-03-29,2.0,30573.0
San Luis Obispo,2020-03-29,19.0,283111.0
San Bernardino,2020-03-29,156.0,2180085.0
Merced,2020-03-29,8.0,277680.0
Shasta,2020-03-29,0.0,180080.0
San Mateo,2020-03-29,73.0,766573.0
Marin,2020-03-29,20.0,258826.0
Glenn,2020-03-29,0.0,28393.0
Fresno,2020-03-29,124.0,999101.0
Napa,2020-03-29,26.0,137744.0
Los Angeles,2020-03-29,1621.0,10039107.0
Trinity,2020-03-29,0.0,12285.0
San Benito,2020-03-29,2.0,62808.0
San Francisco,2020-03-29,123.0,881549.0
Santa Clara,2020-03-29,213.0,1927852.0
Butte,2020-03-29,0.0,219186.0
Colusa,2020-03-29,0.0,21547.0
Monterey,2020-03-29,18.0,434061.0
Madera,2020-03-29,7.0,157327.0
Plumas,2020-03-29,1.0,18807.0
Tehama,2020-03-29,0.0,65084.0
Solano,2020-03-29,34.0,447643.0
Tuolumne,2020-03-29,6.0,54478.0
Santa Cruz,2020-03-29,0.0,273213.0
Contra Costa,2020-03-29,85.0,1153526.0
Del Norte,2020-03-29,3.0,27812.0
Placer,2020-03-29,32.0,398329.0
Siskiyou,2020-03-29,0.0,43539.0
Alameda,2020-03-29,127.0,1671329.0
Orange,2020-03-29,241.0,3175692.0
San Joaquin,2020-03-29,69.0,762148.0
Amador,2020-03-29,1.0,39752.0
Santa Barbara,2020-03-29,36.0,446499.0
Ventura,2020-03-29,109.0,846006.0
Tulare,2020-03-29,19.0,466195.0
Humboldt,2020-03-29,11.0,135558.0
Sonoma,2020-03-29,27.0,494336.0
Calaveras,2020-03-29,0.0,45905.0
El Dorado,2020-03-29,6.0,192843.0
Sutter,2020-03-29,0.0,96971.0
Sacramento,2020-03-29,63.0,1552058.0
Nevada,2020-03-29,23.0,99755.0
Inyo,2020-03-29,0.0,18039.0
Lake,2020-03-29,1.0,64386.0
Kern,2020-03-29,73.0,900202.0
Imperial,2020-03-29,105.0,181215.0
Yuba,2020-03-29,14.0,78668.0
Glenn,2020-03-30,0.0,28393.0
San Benito,2020-03-30,2.0,62808.0
Kern,2020-03-30,141.0,900202.0
Contra Costa,2020-03-30,79.0,1153526.0
Fresno,2020-03-30,98.0,999101.0
Yolo,2020-03-30,4.0,220500.0
Humboldt,2020-03-30,9.0,135558.0
Sacramento,2020-03-30,131.0,1552058.0
Napa,2020-03-30,11.0,137744.0
Stanislaus,2020-03-30,68.0,550660.0
Imperial,2020-03-30,128.0,181215.0
Modoc,2020-03-30,31.0,8841.0
Shasta,2020-03-30,5.0,180080.0
Mono,2020-03-30,1.0,14444.0
Riverside,2020-03-30,193.0,2470546.0
San Francisco,2020-03-30,150.0,881549.0
Kings,2020-03-30,14.0,152940.0
San Joaquin,2020-03-30,58.0,762148.0
Madera,2020-03-30,6.0,157327.0
Amador,2020-03-30,1.0,39752.0
Mendocino,2020-03-30,13.0,86749.0
Santa Barbara,2020-03-30,44.0,446499.0
Sonoma,2020-03-30,29.0,494336.0
Monterey,2020-03-30,27.0,434061.0
Tuolumne,2020-03-30,3.0,54478.0
Colusa,2020-03-30,1.0,21547.0
Marin,2020-03-30,19.0,258826.0
Santa Cruz,2020-03-30,2.0,273213.0
Calaveras,2020-03-30,3.0,45905.0
Placer,2020-03-30,38.0,398329.0
Yuba,2020-03-30,20.0,78668.0
Ventura,2020-03-30,107.0,846006.0
Lassen,2020-03-30,4.0,30573.0
Alameda,2020-03-30,148.0,1671329.0
Lake,2020-03-30,1.0,64386.0
Santa Clara,2020-03-30,246.0,1927852.0
Siskiyou,2020-03-30,0.0,43539.0
Merced,2020-03-30,10.0,277680.0
Tehama,2020-03-30,2.0,65084.0
Del Norte,2020-03-30,2.0,27812.0
Butte,2020-03-30,16.0,219186.0
Nevada,2020-03-30,43.0,99755.0
San Bernardino,2020-03-30,246.0,2180085.0
Los Angeles,2020-03-30,1878.0,10039107.0
Sutter,2020-03-30,0.0,96971.0
El Dorado,2020-03-30,9.0,192843.0
Solano,2020-03-30,31.0,447643.0
Plumas,2020-03-30,1.0,18807.0
San Mateo,2020-03-30,96.0,766573.0
Tulare,2020-03-30,26.0,466195.0
San Diego,2020-03-30,592.0,3338330.0
Inyo,2020-03-30,0.0,18039.0
San Luis Obispo,2020-03-30,16.0,283111.0
Trinity,2020-03-30,0.0,12285.0
Orange,2020-03-30,349.0,3175692.0
Butte,2020-03-31,24.0,219186.0
Modoc,2020-03-31,19.0,8841.0
Humboldt,2020-03-31,12.0,135558.0
Solano,2020-03-31,30.0,447643.0
Alameda,2020-03-31,150.0,1671329.0
Kings,2020-03-31,4.0,152940.0
Glenn,2020-03-31,0.0,28393.0
Napa,2020-03-31,6.0,137744.0
Amador,2020-03-31,0.0,39752.0
Merced,2020-03-31,14.0,277680.0
San Luis Obispo,2020-03-31,22.0,283111.0
Inyo,2020-03-31,83.0,18039.0
Santa Clara,2020-03-31,253.0,1927852.0
Marin,2020-03-31,23.0,258826.0
Santa Cruz,2020-03-31,11.0,273213.0
Tulare,2020-03-31,20.0,466195.0
Mono,2020-03-31,1.0,14444.0
San Benito,2020-03-31,1.0,62808.0
Los Angeles,2020-03-31,1952.0,10039107.0
San Francisco,2020-03-31,136.0,881549.0
Shasta,2020-03-31,6.0,180080.0
Calaveras,2020-03-31,1.0,45905.0
Orange,2020-03-31,338.0,3175692.0
Siskiyou,2020-03-31,0.0,43539.0
Monterey,2020-03-31,26.0,434061.0
Tehama,2020-03-31,2.0,65084.0
Nevada,2020-03-31,76.0,99755.0
Plumas,2020-03-31,0.0,18807.0
Del Norte,2020-03-31,4.0,27812.0
Sutter,2020-03-31,0.0,96971.0
Imperial,2020-03-31,112.0,181215.0
Sacramento,2020-03-31,163.0,1552058.0
Trinity,2020-03-31,0.0,12285.0
Colusa,2020-03-31,1.0,21547.0
Lake,2020-03-31,4.0,64386.0
Yuba,2020-03-31,23.0,78668.0
Lassen,2020-03-31,7.0,30573.0
San Mateo,2020-03-31,83.0,766573.0
Riverside,2020-03-31,235.0,2470546.0
El Dorado,2020-03-31,19.0,192843.0
Ventura,2020-03-31,111.0,846006.0
Placer,2020-03-31,45.0,398329.0
Contra Costa,2020-03-31,81.0,1153526.0
San Bernardino,2020-03-31,313.0,2180085.0
Fresno,2020-03-31,304.0,999101.0
Stanislaus,2020-03-31,51.0,550660.0
Madera,2020-03-31,4.0,157327.0
San Joaquin,2020-03-31,98.0,762148.0
Mendocino,2020-03-31,1.0,86749.0
Yolo,2020-03-31,5.0,220500.0
San Diego,2020-03-31,566.0,3338330.0
Santa Barbara,2020-03-31,48.0,446499.0
Kern,2020-03-31,77.0,900202.0
Sonoma,2020-03-31,26.0,494336.0
Tuolumne,2020-03-31,37.0,54478.0
Yuba,2020-04-01,26.0,78668.0
Santa Cruz,2020-04-01,14.0,273213.0
San Bernardino,2020-04-01,291.0,2180085.0
Stanislaus,2020-04-01,64.0,550660.0
Lassen,2020-04-01,7.0,30573.0
Imperial,2020-04-01,19.0,181215.0
Placer,2020-04-01,53.0,398329.0
Marin,2020-04-01,28.0,258826.0
El Dorado,2020-04-01,22.0,192843.0
Trinity,2020-04-01,0.0,12285.0
Fresno,2020-04-01,120.0,999101.0
Colusa,2020-04-01,1.0,21547.0
Del Norte,2020-04-01,5.0,27812.0
Tehama,2020-04-01,1.0,65084.0
Madera,2020-04-01,4.0,157327.0
Sacramento,2020-04-01,191.0,1552058.0
Tuolumne,2020-04-01,0.0,54478.0
San Joaquin,2020-04-01,60.0,762148.0
Mendocino,2020-04-01,2.0,86749.0
Napa,2020-04-01,4.0,137744.0
Siskiyou,2020-04-01,5.0,43539.0
San Benito,2020-04-01,2.0,62808.0
Amador,2020-04-01,3.0,39752.0
Ventura,2020-04-01,118.0,846006.0
Glenn,2020-04-01,0.0,28393.0
Inyo,2020-04-01,96.0,18039.0
Kern,2020-04-01,60.0,900202.0
San Francisco,2020-04-01,133.0,881549.0
Mono,2020-04-01,0.0,14444.0
Monterey,2020-04-01,29.0,434061.0
Merced,2020-04-01,18.0,277680.0
Alameda,2020-04-01,128.0,1671329.0
Santa Barbara,2020-04-01,46.0,446499.0
Mariposa,2020-04-01,0.0,17203.0
Yolo,2020-04-01,6.0,220500.0
Tulare,2020-04-01,16.0,466195.0
Contra Costa,2020-04-01,73.0,1153526.0
Calaveras,2020-04-01,1.0,45905.0
Sutter,2020-04-01,0.0,96971.0
Nevada,2020-04-01,90.0,99755.0
Orange,2020-04-01,338.0,3175692.0
Modoc,2020-04-01,1.0,8841.0
San Luis Obispo,2020-04-01,18.0,283111.0
Humboldt,2020-04-01,10.0,135558.0
Santa Clara,2020-04-01,245.0,1927852.0
Los Angeles,2020-04-01,2071.0,10039107.0
Plumas,2020-04-01,0.0,18807.0
San Mateo,2020-04-01,92.0,766573.0
Lake,2020-04-01,2.0,64386.0
Butte,2020-04-01,38.0,219186.0
Shasta,2020-04-01,5.0,180080.0
Sonoma,2020-04-01,23.0,494336.0
Riverside,2020-04-01,267.0,2470546.0
Solano,2020-04-01,32.0,447643.0
Kings,2020-04-01,8.0,152940.0
San Diego,2020-04-01,508.0,3338330.0
Colusa,2020-04-02,1.0,21547.0
Kern,2020-04-02,104.0,900202.0
Amador,2020-04-02,3.0,39752.0
Merced,2020-04-02,9.0,277680.0
Lassen,2020-04-02,7.0,30573.0
Del Norte,2020-04-02,3.0,27812.0
San Bernardino,2020-04-02,311.0,2180085.0
Solano,2020-04-02,23.0,447643.0
Placer,2020-04-02,47.0,398329.0
Santa Cruz,2020-04-02,8.0,273213.0
Sutter,2020-04-02,0.0,96971.0
San Joaquin,2020-04-02,84.0,762148.0
Shasta,2020-04-02,6.0,180080.0
Tuolumne,2020-04-02,0.0,54478.0
Orange,2020-04-02,354.0,3175692.0
Humboldt,2020-04-02,9.0,135558.0
San Diego,2020-04-02,487.0,3338330.0
Madera,2020-04-02,8.0,157327.0
Alameda,2020-04-02,133.0,1671329.0
Modoc,2020-04-02,1.0,8841.0
Inyo,2020-04-02,110.0,18039.0
Imperial,2020-04-02,20.0,181215.0
San Luis Obispo,2020-04-02,10.0,283111.0
Glenn,2020-04-02,0.0,28393.0
Riverside,2020-04-02,317.0,2470546.0
Mono,2020-04-02,20.0,14444.0
Santa Clara,2020-04-02,264.0,1927852.0
Mariposa,2020-04-02,1.0,17203.0
Kings,2020-04-02,8.0,152940.0
Mendocino,2020-04-02,1.0,86749.0
San Mateo,2020-04-02,102.0,766573.0
Siskiyou,2020-04-02,3.0,43539.0
Tehama,2020-04-02,1.0,65084.0
Sacramento,2020-04-02,163.0,1552058.0
Sonoma,2020-04-02,26.0,494336.0
Fresno,2020-04-02,91.0,999101.0
San Benito,2020-04-02,2.0,62808.0
San Francisco,2020-04-02,135.0,881549.0
El Dorado,2020-04-02,27.0,192843.0
Yuba,2020-04-02,27.0,78668.0
Marin,2020-04-02,23.0,258826.0
Plumas,2020-04-02,0.0,18807.0
Nevada,2020-04-02,96.0,99755.0
Napa,2020-04-02,5.0,137744.0
Los Angeles,2020-04-02,2088.0,10039107.0
Contra Costa,2020-04-02,70.0,1153526.0
Trinity,2020-04-02,0.0,12285.0
Lake,2020-04-02,1.0,64386.0
Yolo,2020-04-02,5.0,220500.0
Monterey,2020-04-02,28.0,434061.0
Calaveras,2020-04-02,1.0,45905.0
Ventura,2020-04-02,138.0,846006.0
Butte,2020-04-02,30.0,219186.0
Tulare,2020-04-02,30.0,466195.0
Santa Barbara,2020-04-02,70.0,446499.0
Stanislaus,2020-04-02,73.0,550660.0
Napa,2020-04-03,10.0,137744.0
Ventura,2020-04-03,138.0,846006.0
Butte,2020-04-03,22.0,219186.0
Riverside,2020-04-03,287.0,2470546.0
Trinity,2020-04-03,0.0,12285.0
Kings,2020-04-03,3.0,152940.0
San Joaquin,2020-04-03,79.0,762148.0
Marin,2020-04-03,22.0,258826.0
Sacramento,2020-04-03,153.0,1552058.0
Solano,2020-04-03,37.0,447643.0
Glenn,2020-04-03,0.0,28393.0
Kern,2020-04-03,108.0,900202.0
Tehama,2020-04-03,0.0,65084.0
Plumas,2020-04-03,0.0,18807.0
Yuba,2020-04-03,14.0,78668.0
Siskiyou,2020-04-03,3.0,43539.0
Nevada,2020-04-03,6.0,99755.0
San Francisco,2020-04-03,151.0,881549.0
Inyo,2020-04-03,110.0,18039.0
Tulare,2020-04-03,21.0,466195.0
Sonoma,2020-04-03,30.0,494336.0
El Dorado,2020-04-03,24.0,192843.0
Monterey,2020-04-03,34.0,434061.0
Yolo,2020-04-03,9.0,220500.0
Mendocino,2020-04-03,5.0,86749.0
Sutter,2020-04-03,0.0,96971.0
Fresno,2020-04-03,96.0,999101.0
Mariposa,2020-04-03,2.0,17203.0
Humboldt,2020-04-03,8.0,135558.0
San Bernardino,2020-04-03,322.0,2180085.0
Los Angeles,2020-04-03,2201.0,10039107.0
San Luis Obispo,2020-04-03,9.0,283111.0
Calaveras,2020-04-03,1.0,45905.0
Del Norte,2020-04-03,2.0,27812.0
Imperial,2020-04-03,16.0,181215.0
Lassen,2020-04-03,3.0,30573.0
Shasta,2020-04-03,11.0,180080.0
Placer,2020-04-03,44.0,398329.0
Santa Barbara,2020-04-03,56.0,446499.0
Amador,2020-04-03,0.0,39752.0
Alameda,2020-04-03,138.0,1671329.0
San Benito,2020-04-03,2.0,62808.0
Madera,2020-04-03,5.0,157327.0
San Mateo,2020-04-03,104.0,766573.0
Stanislaus,2020-04-03,73.0,550660.0
Orange,2020-04-03,313.0,3175692.0
Modoc,2020-04-03,0.0,8841.0
Lake,2020-04-03,2.0,64386.0
Merced,2020-04-03,9.0,277680.0
Santa Cruz,2020-04-03,12.0,273213.0
Contra Costa,2020-04-03,70.0,1153526.0
Santa Clara,2020-04-03,247.0,1927852.0
Mono,2020-04-03,20.0,14444.0
San Diego,2020-04-03,479.0,3338330.0
Tuolumne,2020-04-03,0.0,54478.0
Colusa,2020-04-03,1.0,21547.0
Orange,2020-04-04,356.0,3175692.0
Glenn,2020-04-04,0.0,28393.0
Ventura,2020-04-04,148.0,846006.0
Stanislaus,2020-04-04,75.0,550660.0
Amador,2020-04-04,0.0,39752.0
Imperial,2020-04-04,19.0,181215.0
Mariposa,2020-04-04,2.0,17203.0
Napa,2020-04-04,9.0,137744.0
Marin,2020-04-04,21.0,258826.0
Lake,2020-04-04,4.0,64386.0
Placer,2020-04-04,37.0,398329.0
Tuolumne,2020-04-04,1.0,54478.0
Kings,2020-04-04,10.0,152940.0
Trinity,2020-04-04,0.0,12285.0
Santa Barbara,2020-04-04,62.0,446499.0
Del Norte,2020-04-04,2.0,27812.0
Sacramento,2020-04-04,145.0,1552058.0
Sonoma,2020-04-04,23.0,494336.0
San Mateo,2020-04-04,85.0,766573.0
Humboldt,2020-04-04,5.0,135558.0
Plumas,2020-04-04,0.0,18807.0
San Bernardino,2020-04-04,392.0,2180085.0
Fresno,2020-04-04,107.0,999101.0
San Benito,2020-04-04,5.0,62808.0
Yuba,2020-04-04,18.0,78668.0
Nevada,2020-04-04,8.0,99755.0
Siskiyou,2020-04-04,2.0,43539.0
Yolo,2020-04-04,9.0,220500.0
San Luis Obispo,2020-04-04,10.0,283111.0
Mono,2020-04-04,22.0,14444.0
Solano,2020-04-04,35.0,447643.0
Colusa,2020-04-04,1.0,21547.0
Modoc,2020-04-04,0.0,8841.0
San Joaquin,2020-04-04,73.0,762148.0
Santa Cruz,2020-04-04,10.0,273213.0
Mendocino,2020-04-04,3.0,86749.0
Tulare,2020-04-04,28.0,466195.0
Inyo,2020-04-04,114.0,18039.0
Contra Costa,2020-04-04,77.0,1153526.0
Monterey,2020-04-04,41.0,434061.0
San Diego,2020-04-04,395.0,3338330.0
Santa Clara,2020-04-04,238.0,1927852.0
Riverside,2020-04-04,312.0,2470546.0
Los Angeles,2020-04-04,2197.0,10039107.0
Butte,2020-04-04,17.0,219186.0
Tehama,2020-04-04,1.0,65084.0
El Dorado,2020-04-04,24.0,192843.0
Sutter,2020-04-04,0.0,96971.0
Calaveras,2020-04-04,1.0,45905.0
Madera,2020-04-04,4.0,157327.0
Lassen,2020-04-04,0.0,30573.0
Alameda,2020-04-04,155.0,1671329.0
Kern,2020-04-04,87.0,900202.0
Shasta,2020-04-04,12.0,180080.0
San Francisco,2020-04-04,145.0,881549.0
Merced,2020-04-04,19.0,277680.0
Los Angeles,2020-04-05,2176.0,10039107.0
Sutter,2020-04-05,0.0,96971.0
Plumas,2020-04-05,0.0,18807.0
San Benito,2020-04-05,3.0,62808.0
Santa Clara,2020-04-05,235.0,1927852.0
Lake,2020-04-05,4.0,64386.0
Tuolumne,2020-04-05,0.0,54478.0
Sacramento,2020-04-05,142.0,1552058.0
Kern,2020-04-05,50.0,900202.0
Solano,2020-04-05,32.0,447643.0
San Luis Obispo,2020-04-05,13.0,283111.0
Napa,2020-04-05,9.0,137744.0
Nevada,2020-04-05,6.0,99755.0
Santa Barbara,2020-04-05,57.0,446499.0
Orange,2020-04-05,365.0,3175692.0
Contra Costa,2020-04-05,64.0,1153526.0
Marin,2020-04-05,20.0,258826.0
Yolo,2020-04-05,9.0,220500.0
Yuba,2020-04-05,15.0,78668.0
Ventura,2020-04-05,149.0,846006.0
Imperial,2020-04-05,18.0,181215.0
Monterey,2020-04-05,31.0,434061.0
Santa Cruz,2020-04-05,17.0,273213.0
Butte,2020-04-05,18.0,219186.0
Madera,2020-04-05,1.0,157327.0
Merced,2020-04-05,25.0,277680.0
San Francisco,2020-04-05,147.0,881549.0
Alameda,2020-04-05,159.0,1671329.0
Riverside,2020-04-05,336.0,2470546.0
El Dorado,2020-04-05,22.0,192843.0
Sonoma,2020-04-05,27.0,494336.0
Stanislaus,2020-04-05,55.0,550660.0
Inyo,2020-04-05,115.0,18039.0
Kings,2020-04-05,4.0,152940.0
Amador,2020-04-05,0.0,39752.0
Tehama,2020-04-05,1.0,65084.0
San Joaquin,2020-04-05,70.0,762148.0
Mendocino,2020-04-05,3.0,86749.0
Colusa,2020-04-05,1.0,21547.0
Placer,2020-04-05,36.0,398329.0
San Diego,2020-04-05,399.0,3338330.0
Mono,2020-04-05,22.0,14444.0
Shasta,2020-04-05,19.0,180080.0
Mariposa,2020-04-05,2.0,17203.0
Fresno,2020-04-05,97.0,999101.0
Trinity,2020-04-05,0.0,12285.0
San Bernardino,2020-04-05,386.0,2180085.0
Humboldt,2020-04-05,5.0,135558.0
San Mateo,2020-04-05,84.0,766573.0
Glenn,2020-04-05,0.0,28393.0
Calaveras,2020-04-05,0.0,45905.0
Lassen,2020-04-05,0.0,30573.0
Tulare,2020-04-05,24.0,466195.0
Siskiyou,2020-04-05,2.0,43539.0
Modoc,2020-04-05,0.0,8841.0
Del Norte,2020-04-05,1.0,27812.0
Marin,2020-04-06,16.0,258826.0
San Francisco,2020-04-06,151.0,881549.0
Kern,2020-04-06,60.0,900202.0
Glenn,2020-04-06,0.0,28393.0
Modoc,2020-04-06,0.0,8841.0
Stanislaus,2020-04-06,56.0,550660.0
Sutter,2020-04-06,0.0,96971.0
Mariposa,2020-04-06,3.0,17203.0
Yuba,2020-04-06,20.0,78668.0
Inyo,2020-04-06,123.0,18039.0
Del Norte,2020-04-06,3.0,27812.0
Tulare,2020-04-06,36.0,466195.0
Kings,2020-04-06,6.0,152940.0
San Joaquin,2020-04-06,63.0,762148.0
Shasta,2020-04-06,9.0,180080.0
El Dorado,2020-04-06,17.0,192843.0
Contra Costa,2020-04-06,58.0,1153526.0
Nevada,2020-04-06,6.0,99755.0
Solano,2020-04-06,36.0,447643.0
Santa Barbara,2020-04-06,60.0,446499.0
San Benito,2020-04-06,6.0,62808.0
Plumas,2020-04-06,0.0,18807.0
Santa Cruz,2020-04-06,14.0,273213.0
San Mateo,2020-04-06,88.0,766573.0
Yolo,2020-04-06,4.0,220500.0
Napa,2020-04-06,7.0,137744.0
Alameda,2020-04-06,149.0,1671329.0
Sonoma,2020-04-06,24.0,494336.0
Imperial,2020-04-06,23.0,181215.0
Monterey,2020-04-06,31.0,434061.0
Amador,2020-04-06,0.0,39752.0
Lake,2020-04-06,8.0,64386.0
Madera,2020-04-06,2.0,157327.0
Placer,2020-04-06,32.0,398329.0
Fresno,2020-04-06,99.0,999101.0
San Diego,2020-04-06,411.0,3338330.0
Lassen,2020-04-06,0.0,30573.0
Orange,2020-04-06,316.0,3175692.0
Mendocino,2020-04-06,2.0,86749.0
San Luis Obispo,2020-04-06,5.0,283111.0
Colusa,2020-04-06,0.0,21547.0
Riverside,2020-04-06,322.0,2470546.0
Santa Clara,2020-04-06,230.0,1927852.0
Sacramento,2020-04-06,155.0,1552058.0
Mono,2020-04-06,22.0,14444.0
Butte,2020-04-06,16.0,219186.0
Tehama,2020-04-06,0.0,65084.0
Siskiyou,2020-04-06,0.0,43539.0
Trinity,2020-04-06,0.0,12285.0
Ventura,2020-04-06,128.0,846006.0
Calaveras,2020-04-06,0.0,45905.0
Humboldt,2020-04-06,15.0,135558.0
San Bernardino,2020-04-06,333.0,2180085.0
Merced,2020-04-06,6.0,277680.0
Los Angeles,2020-04-06,2236.0,10039107.0
Tuolumne,2020-04-06,0.0,54478.0
Marin,2020-04-07,11.0,258826.0
Nevada,2020-04-07,5.0,99755.0
El Dorado,2020-04-07,18.0,192843.0
Shasta,2020-04-07,13.0,180080.0
Colusa,2020-04-07,0.0,21547.0
Monterey,2020-04-07,43.0,434061.0
Lassen,2020-04-07,1.0,30573.0
Mendocino,2020-04-07,2.0,86749.0
Lake,2020-04-07,0.0,64386.0
Merced,2020-04-07,6.0,277680.0
San Bernardino,2020-04-07,324.0,2180085.0
Kings,2020-04-07,7.0,152940.0
Plumas,2020-04-07,1.0,18807.0
Orange,2020-04-07,287.0,3175692.0
Tuolumne,2020-04-07,0.0,54478.0
Mono,2020-04-07,22.0,14444.0
Tehama,2020-04-07,1.0,65084.0
Placer,2020-04-07,37.0,398329.0
Fresno,2020-04-07,102.0,999101.0
Imperial,2020-04-07,23.0,181215.0
Kern,2020-04-07,119.0,900202.0
Napa,2020-04-07,5.0,137744.0
Santa Barbara,2020-04-07,49.0,446499.0
Sutter,2020-04-07,0.0,96971.0
Alameda,2020-04-07,160.0,1671329.0
Mariposa,2020-04-07,3.0,17203.0
Ventura,2020-04-07,90.0,846006.0
San Mateo,2020-04-07,76.0,766573.0
Butte,2020-04-07,15.0,219186.0
Madera,2020-04-07,3.0,157327.0
San Diego,2020-04-07,327.0,3338330.0
Calaveras,2020-04-07,1.0,45905.0
San Benito,2020-04-07,6.0,62808.0
Siskiyou,2020-04-07,1.0,43539.0
Santa Cruz,2020-04-07,8.0,273213.0
Riverside,2020-04-07,336.0,2470546.0
San Francisco,2020-04-07,204.0,881549.0
Sonoma,2020-04-07,34.0,494336.0
Glenn,2020-04-07,0.0,28393.0
Humboldt,2020-04-07,9.0,135558.0
Yuba,2020-04-07,27.0,78668.0
Stanislaus,2020-04-07,68.0,550660.0
Santa Clara,2020-04-07,234.0,1927852.0
Solano,2020-04-07,38.0,447643.0
Inyo,2020-04-07,130.0,18039.0
Modoc,2020-04-07,1.0,8841.0
San Joaquin,2020-04-07,64.0,762148.0
San Luis Obispo,2020-04-07,7.0,283111.0
Los Angeles,2020-04-07,2601.0,10039107.0
Sacramento,2020-04-07,165.0,1552058.0
Tulare,2020-04-07,31.0,466195.0
Contra Costa,2020-04-07,69.0,1153526.0
Yolo,2020-04-07,5.0,220500.0
Del Norte,2020-04-07,3.0,27812.0
Trinity,2020-04-07,0.0,12285.0
Amador,2020-04-07,0.0,39752.0
Solano,2020-04-08,34.0,447643.0
Plumas,2020-04-08,1.0,18807.0
Imperial,2020-04-08,23.0,181215.0
Sonoma,2020-04-08,28.0,494336.0
Riverside,2020-04-08,294.0,2470546.0
Contra Costa,2020-04-08,85.0,1153526.0
Stanislaus,2020-04-08,65.0,550660.0
Shasta,2020-04-08,9.0,180080.0
Kern,2020-04-08,88.0,900202.0
Modoc,2020-04-08,0.0,8841.0
Los Angeles,2020-04-08,2408.0,10039107.0
San Bernardino,2020-04-08,433.0,2180085.0
San Diego,2020-04-08,328.0,3338330.0
El Dorado,2020-04-08,19.0,192843.0
San Francisco,2020-04-08,206.0,881549.0
Siskiyou,2020-04-08,3.0,43539.0
Nevada,2020-04-08,9.0,99755.0
Sutter,2020-04-08,0.0,96971.0
Marin,2020-04-08,8.0,258826.0
Sacramento,2020-04-08,157.0,1552058.0
Mariposa,2020-04-08,0.0,17203.0
Colusa,2020-04-08,0.0,21547.0
Trinity,2020-04-08,0.0,12285.0
San Joaquin,2020-04-08,51.0,762148.0
Tulare,2020-04-08,23.0,466195.0
Inyo,2020-04-08,137.0,18039.0
Placer,2020-04-08,33.0,398329.0
Lassen,2020-04-08,1.0,30573.0
Santa Clara,2020-04-08,190.0,1927852.0
Del Norte,2020-04-08,2.0,27812.0
Yuba,2020-04-08,26.0,78668.0
Kings,2020-04-08,10.0,152940.0
Napa,2020-04-08,7.0,137744.0
Orange,2020-04-08,334.0,3175692.0
Monterey,2020-04-08,42.0,434061.0
Yolo,2020-04-08,9.0,220500.0
Madera,2020-04-08,6.0,157327.0
Santa Barbara,2020-04-08,60.0,446499.0
San Mateo,2020-04-08,86.0,766573.0
Butte,2020-04-08,16.0,219186.0
Santa Cruz,2020-04-08,13.0,273213.0
San Luis Obispo,2020-04-08,15.0,283111.0
Tuolumne,2020-04-08,0.0,54478.0
San Benito,2020-04-08,2.0,62808.0
Amador,2020-04-08,0.0,39752.0
Glenn,2020-04-08,0.0,28393.0
Humboldt,2020-04-08,5.0,135558.0
Mono,2020-04-08,27.0,14444.0
Alameda,2020-04-08,153.0,1671329.0
Tehama,2020-04-08,2.0,65084.0
Merced,2020-04-08,2.0,277680.0
Calaveras,2020-04-08,2.0,45905.0
Lake,2020-04-08,0.0,64386.0
Mendocino,2020-04-08,0.0,86749.0
Fresno,2020-04-08,85.0,999101.0
Ventura,2020-04-08,91.0,846006.0
Glenn,2020-04-09,0.0,28393.0
San Francisco,2020-04-09,152.0,881549.0
Tehama,2020-04-09,1.0,65084.0
Inyo,2020-04-09,144.0,18039.0
Alameda,2020-04-09,156.0,1671329.0
Calaveras,2020-04-09,0.0,45905.0
Madera,2020-04-09,3.0,157327.0
Riverside,2020-04-09,360.0,2470546.0
Santa Cruz,2020-04-09,18.0,273213.0
Fresno,2020-04-09,66.0,999101.0
Mendocino,2020-04-09,0.0,86749.0
Sutter,2020-04-09,0.0,96971.0
Shasta,2020-04-09,12.0,180080.0
Tuolumne,2020-04-09,0.0,54478.0
Amador,2020-04-09,0.0,39752.0
Sacramento,2020-04-09,134.0,1552058.0
Santa Barbara,2020-04-09,58.0,446499.0
Placer,2020-04-09,30.0,398329.0
El Dorado,2020-04-09,20.0,192843.0
Imperial,2020-04-09,24.0,181215.0
San Benito,2020-04-09,3.0,62808.0
Del Norte,2020-04-09,2.0,27812.0
Marin,2020-04-09,12.0,258826.0
San Joaquin,2020-04-09,47.0,762148.0
Stanislaus,2020-04-09,58.0,550660.0
Humboldt,2020-04-09,8.0,135558.0
Orange,2020-04-09,263.0,3175692.0
Merced,2020-04-09,8.0,277680.0
Plumas,2020-04-09,1.0,18807.0
Contra Costa,2020-04-09,101.0,1153526.0
Yolo,2020-04-09,6.0,220500.0
Kern,2020-04-09,62.0,900202.0
San Diego,2020-04-09,351.0,3338330.0
San Mateo,2020-04-09,72.0,766573.0
