county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,population,confirmedper100k,newlyconfirmedper100k,deathper100k,newdeath100k,7dayrollingavg_newlyconfirmed,7dayrollingavg_newdeath,7dayrollingavg_newlyconfirmed_rawnumber,7dayrollingavg_newdeath_rawnumber
San Bernardino,106927.0,1175.0,1545,0,2020-12-06,0.027,0.022,0.048,0.134,0.768,2180085,4904.717017914439,70.86879640014035,53.89698108101289,0.0,97.47326365715098,0.3014299245868198,2125.0,6.571428571428571
San Bernardino,108161.0,1188.0,1234,13,2020-12-07,0.027,0.022,0.048,0.134,0.768,2180085,4961.320315492286,56.60329757784673,54.493288105739,0.5963070247261001,101.28700748561901,0.3866166424048341,2208.1428571428573,8.428571428571429
San Bernardino,110676.0,1188.0,2515,0,2020-12-08,0.027,0.022,0.048,0.134,0.768,2180085,5076.68278989122,115.36247439893398,54.493288105739,0.0,97.12596396143138,0.3866166424048341,2117.4285714285716,8.428571428571429
San Bernardino,114516.0,1208.0,3840,20,2020-12-09,0.027,0.022,0.048,0.134,0.768,2180085,5252.822711041083,176.13992114986343,55.410683528394536,0.9173954226555388,104.51099711380847,0.4718033602228484,2278.4285714285716,10.285714285714286
San Bernardino,120186.0,1209.0,5670,1,2020-12-10,0.027,0.022,0.048,0.134,0.768,2180085,5512.904313363928,260.08160232284524,55.456553299527314,0.04586977113277693,127.11824145781996,0.36040534461467594,2771.285714285714,7.857142857142857
San Bernardino,123092.0,1209.0,2906,0,2020-12-11,0.027,0.022,0.048,0.134,0.768,2180085,5646.201868275778,133.29755491184977,55.456553299527314,0.0,135.4730926284329,0.2227960312163451,2953.4285714285716,4.857142857142857
San Bernardino,125741.0,1215.0,2649,6,2020-12-12,0.027,0.022,0.048,0.134,0.768,2180085,5767.710892006504,121.50902373072608,55.73177192632398,0.2752186267966616,133.40895292745793,0.26211297790158244,2908.4285714285716,5.714285714285714
San Bernardino,126718.0,1223.0,977,8,2020-12-13,0.027,0.022,0.048,0.134,0.768,2180085,5812.525658403228,44.81476639672306,56.09873009538619,0.36695816906221546,129.68694864125547,0.314535573481899,2827.285714285714,6.857142857142857
San Bernardino,129151.0,1241.0,2433,18,2020-12-14,0.027,0.022,0.048,0.134,0.768,2180085,5924.126811569274,111.60115316604627,56.92438597577617,0.8256558803899847,137.5437851538554,0.34729969571959673,2998.5714285714284,7.571428571428571
San Bernardino,137548.0,1241.0,8397,0,2020-12-15,0.027,0.022,0.048,0.134,0.768,2180085,6309.295279771201,385.1684682019279,56.92438597577617,0.0,176.0874985542831,0.34729969571959673,3838.8571428571427,7.571428571428571
San Bernardino,143565.0,1304.0,6017,63,2020-12-16,0.027,0.022,0.048,0.134,0.768,2180085,6585.29369267712,275.99841290591877,59.814181557141126,2.8897955813649467,190.35299737657675,0.629071146963798,4149.857142857143,13.714285714285714
San Bernardino,149838.0,1323.0,6273,19,2020-12-17,0.027,0.022,0.048,0.134,0.768,2180085,6873.034766993031,287.7410743159097,60.68570720866388,0.8715256515227616,194.30435051844307,0.7470219870195101,4236.0,16.285714285714285
San Bernardino,154272.0,1323.0,4434,0,2020-12-18,0.027,0.022,0.048,0.134,0.768,2180085,7076.421332195763,203.38656520273295,60.68570720866388,0.0,204.31706627428352,0.7470219870195101,4454.285714285715,16.285714285714285
