county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,population,confirmedper100k,newlyconfirmedper100k,deathper100k,newdeath100k,7dayrollingavg_newlyconfirmed,7dayrollingavg_newdeath,7dayrollingavg_newlyconfirmed_rawnumber,7dayrollingavg_newdeath_rawnumber
Tulare,1317.0,54.0,34,0,2020-05-14,0.025,0.039,0.115,0.136,0.685,466195,282.4998123102994,7.293085511427622,11.583135812267399,0.0,9.683256393323736,0.33707538078026983,45.142857142857146,1.5714285714285714
Tulare,1356.0,64.0,39,10,2020-05-15,0.025,0.039,0.115,0.136,0.685,466195,290.8654103969369,8.365598086637565,13.728160962687289,2.1450251504198885,9.37682422897804,0.6128643286913983,43.714285714285715,2.857142857142857
Tulare,1426.0,67.0,70,3,2020-05-16,0.025,0.039,0.115,0.136,0.685,466195,305.8805864498761,15.015176052939221,14.371668507813254,0.6435075451259666,10.510623237057123,0.6128643286913983,49.0,2.857142857142857
Tulare,1430.0,67.0,4,0,2020-05-17,0.025,0.039,0.115,0.136,0.685,466195,306.7385965100441,0.8580100601679556,14.371668507813254,0.0,8.794603116721213,0.5822211122568284,41.0,2.7142857142857144
Tulare,1491.0,67.0,61,0,2020-05-18,0.025,0.039,0.115,0.136,0.685,466195,319.8232499276054,13.084653417561322,14.371668507813254,0.0,8.825246333155782,0.5209346793876887,41.142857142857146,2.4285714285714284
Tulare,1551.0,71.0,60,4,2020-05-19,0.025,0.039,0.115,0.136,0.685,466195,332.69340083012474,12.870150902519333,15.22967856798121,0.8580100601679556,8.886532766024922,0.5822211122568284,41.42857142857143,2.7142857142857144
Tulare,1585.0,73.0,34,2,2020-05-20,0.025,0.039,0.115,0.136,0.685,466195,339.98648634155234,7.293085511427622,15.658683598065187,0.4290050300839778,9.25425136323976,0.5822211122568284,43.142857142857146,2.7142857142857144
Tulare,1606.0,74.0,21,1,2020-05-21,0.025,0.039,0.115,0.136,0.685,466195,344.49103915743416,4.504552815881767,15.873186113107176,0.2145025150419889,8.855889549590353,0.6128643286913983,41.285714285714285,2.857142857142857
Tulare,1662.0,75.0,56,1,2020-05-22,0.025,0.039,0.115,0.136,0.685,466195,356.5031799997855,12.012140842351377,16.087688628149166,0.2145025150419889,9.37682422897804,0.3370753807802697,43.714285714285715,1.5714285714285714
Tulare,1682.0,75.0,20,0,2020-05-23,0.025,0.039,0.115,0.136,0.685,466195,360.7932303006253,4.290050300839777,16.087688628149166,0.0,7.844663407249548,0.2451457314765602,36.57142857142857,1.1428571428571428
Tulare,1684.0,75.0,2,0,2020-05-24,0.025,0.039,0.115,0.136,0.685,466195,361.2222353307092,0.4290050300839778,16.087688628149166,0.0,7.783376974380408,0.2451457314765602,36.285714285714285,1.1428571428571428
Tulare,1747.0,75.0,63,0,2020-05-25,0.025,0.039,0.115,0.136,0.685,466195,374.7358937783545,13.5136584476453,16.087688628149166,0.0,7.844663407249548,0.2451457314765602,36.57142857142857,1.1428571428571428
Tulare,1768.0,79.0,21,4,2020-05-26,0.025,0.039,0.115,0.136,0.685,466195,379.24044659423635,4.504552815881767,16.94569868831712,0.8580100601679556,6.649577966301323,0.2451457314765602,31.0,1.1428571428571428
Tulare,1817.0,79.0,49,0,2020-05-27,0.025,0.039,0.115,0.136,0.685,466195,389.75106983129376,10.510623237057453,16.94569868831712,0.0,7.109226212819871,0.18385929860742053,33.142857142857146,0.8571428571428571
Tulare,1832.0,80.0,15,1,2020-05-28,0.025,0.039,0.115,0.136,0.685,466195,392.9686075569236,3.217537725629833,17.160201203359108,0.2145025150419889,6.925366914212452,0.18385929860742053,32.285714285714285,0.8571428571428571
Tulare,1852.0,84.0,20,4,2020-05-29,0.025,0.039,0.115,0.136,0.685,466195,397.2586578577634,4.290050300839777,18.018211263527068,0.8580100601679556,5.822211122567937,0.27578894791113007,27.142857142857142,1.2857142857142858
Tulare,1879.0,84.0,27,0,2020-05-30,0.025,0.039,0.115,0.136,0.685,466195,403.0502257638971,5.791567906133699,18.018211263527068,0.0,6.036713637609926,0.27578894791113007,28.142857142857142,1.2857142857142858
Tulare,1884.0,84.0,5,0,2020-05-31,0.025,0.039,0.115,0.136,0.685,466195,404.122738339107,1.0725125752099443,18.018211263527068,0.0,6.128643286913635,0.27578894791113007,28.571428571428573,1.2857142857142858
Tulare,1976.0,89.0,92,5,2020-06-01,0.025,0.039,0.115,0.136,0.685,466195,423.85696972297006,19.734231383862976,19.09072383873701,1.0725125752099443,7.017296563516161,0.4290050300839793,32.714285714285715,2.0
Tulare,2012.0,89.0,36,0,2020-06-02,0.025,0.039,0.115,0.136,0.685,466195,431.5790602644816,7.722090541511599,19.09072383873701,0.0,7.476944810034708,0.30643216434569986,34.857142857142854,1.4285714285714286
Tulare,2041.0,90.0,29,1,2020-06-03,0.025,0.039,0.115,0.136,0.685,466195,437.79963320069925,6.2205729362176765,19.305226353779,0.2145025150419889,6.864080481343312,0.3370753807802697,32.0,1.5714285714285714
Tulare,2086.0,92.0,45,2,2020-06-04,0.025,0.039,0.115,0.136,0.685,466195,447.4522463775887,9.6526131768895,19.734231383862976,0.4290050300839778,7.783376974380407,0.3677185972148395,36.285714285714285,1.7142857142857142
Tulare,2180.0,92.0,94,0,2020-06-05,0.025,0.039,0.115,0.136,0.685,466195,467.6154827915357,20.163236413946954,19.734231383862976,0.0,10.050974990538574,0.24514573147656016,46.857142857142854,1.1428571428571428
Tulare,2213.0,92.0,33,0,2020-06-06,0.025,0.039,0.115,0.136,0.685,466195,474.6940657879214,7.078582996385633,19.734231383862976,0.0,10.234834289145994,0.24514573147656016,47.714285714285715,1.1428571428571428
Tulare,2219.0,92.0,6,0,2020-06-07,0.025,0.039,0.115,0.136,0.685,466195,475.9810808781733,1.2870150902519333,19.734231383862976,0.0,10.265477505580563,0.24514573147656016,47.857142857142854,1.1428571428571428
Tulare,2301.0,94.0,82,2,2020-06-08,0.025,0.039,0.115,0.136,0.685,466195,493.5702871116164,17.589206233443086,20.163236413946954,0.4290050300839778,9.959045341234864,0.15321608217285068,46.42857142857143,0.7142857142857143
Tulare,2393.0,94.0,92,0,2020-06-09,0.025,0.039,0.115,0.136,0.685,466195,513.3045184954793,19.734231383862976,20.163236413946954,0.0,11.675065461570776,0.15321608217285068,54.42857142857143,0.7142857142857143
Tulare,2455.0,96.0,62,2,2020-06-10,0.025,0.039,0.115,0.136,0.685,466195,526.6036744280827,13.29915593260331,20.592241444030932,0.4290050300839778,12.686291603911581,0.1838592986074205,59.142857142857146,0.8571428571428571
Tulare,2473.0,98.0,18,2,2020-06-11,0.025,0.039,0.115,0.136,0.685,466195,530.4647196988385,3.8610452707557994,21.021246474114907,0.4290050300839778,11.858924760178194,0.1838592986074205,55.285714285714285,0.8571428571428571
Tulare,2552.0,98.0,79,0,2020-06-12,0.025,0.039,0.115,0.136,0.685,466195,547.4104183871556,16.94569868831712,21.021246474114907,0.0,11.399276513659645,0.1838592986074205,53.142857142857146,0.8571428571428571
Tulare,2626.0,98.0,74,0,2020-06-13,0.025,0.039,0.115,0.136,0.685,466195,563.2836045002628,15.873186113107176,21.021246474114907,0.0,12.65564838747701,0.1838592986074205,59.0,0.8571428571428571
Tulare,2646.0,98.0,20,0,2020-06-14,0.025,0.039,0.115,0.136,0.685,466195,567.5736548011025,4.290050300839777,21.021246474114907,0.0,13.084653417560988,0.1838592986074205,61.0,0.8571428571428571
Tulare,2662.0,98.0,16,0,2020-06-15,0.025,0.039,0.115,0.136,0.685,466195,571.0056950417743,3.4320402406718222,21.021246474114907,0.0,11.06220113287938,0.12257286573828081,51.57142857142857,0.5714285714285714
